subject_id||<http://schema.org/Product/product_gtin>||<http://schema.org/Product/cables_included>||<http://schema.org/Product/weight>||<http://schema.org/Product/mdoel>||<http://schema.org/Product/aditional_features>||<http://schema.org/Product/sensitivity>||<http://schema.org/Product/series>||<http://schema.org/Product/model>||<http://schema.org/Product/headphones_form_factor>||<http://schema.org/Product/width>||<http://schema.org/Product/depth>||<http://schema.org/Product/sound_output_mode>||<http://schema.org/Product/thd>||<http://schema.org/Product/detachable_cable>||<http://schema.org/Product/brand>||<http://schema.org/Product/foldable>||<http://schema.org/Product/microphone_sensitivity>||<http://schema.org/Product/max_input_power>||<http://schema.org/Product/product_type>||<http://schema.org/Product/height>||<http://schema.org/Product/included_accessories>||<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>||<http://schema.org/Product/controls>||<http://schema.org/Product/warranty>||<http://schema.org/Product/headphones_technology>||<http://schema.org/Product/color>||<http://schema.org/Product/frequency_response>||<http://schema.org/Product/microphone_response>||<http://schema.org/Product/impedance>||<http://schema.org/Product/microphone_audio_details>||<http://schema.org/Product/compatibility>||<http://schema.org/Product/diaphragm>||<http://schema.org/Product/magnet_material>||<http://schema.org/Product/compliant_standards>||<http://schema.org/Product/connectivity_technology>||<http://schema.org/Product/headphones_cup_type>||<http://schema.org/Product/microphone>||<http://schema.org/Product/mpn>||
http://dws.products.catalog/9f08c431-0ca6-46e7-a50f-378ff3d15479||04961310118617||headphones cable - integrated - 10 ft||9.3 oz||||||100 db/mw||ath-ad||ath-ad700x||full size||||||||||||audio-technica||||100 db/mw||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||||||dynamic||||5 - 30000 hz||5 - 30000 hz||38 ohm||||||2.1 in||||||wired||||||||
http://dws.products.catalog/9b2fef2c-8632-48ba-a855-ff58a40a3b6c||09002761021189||headphones cable - 10 ft||240 g||||||94 db/mw||||k171 pro||circumaural||185 mm||||stereo||0.4%||yes||akg||||||200 mw||headphones||190 mm||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||18 - 26000 hz||||55 ohms||||||||neodymium||||wired||||||2908x00190, k 171 studio||
http://dws.products.catalog/a3287c43-9c90-47d3-b0fe-9eca9dcf01e3||00615104257948||headphones cable - 4 ft||0.42 oz, 12 g||||||118 db spl/v||cx||cx 3.00||in-ear||||||stereo||0.50%||||sennheiser||n/a||n/a||||earphones||||carrying case, 4 pairs of earpads (extra small, small, medium, large)||<http://schema.org/Product>||n/a||2 years||dynamic||||17 - 21000 hz||n/a||18 ohm||n/a||||||||||wired||||n/a||cx 3.00 red, cx 3.00 red||
http://dws.products.catalog/849b97cf-3b2a-4286-b2ff-9a9ab9724870||00015104053425, 00615104053427, 04012418053420, 04995090006383||headphones cable - external - 10 ft||9.2 oz||||||112 db||||hd 555||full size||||||stereo||0.2%||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||15 - 28000 hz||||50 ohm||||||||neodymium||||wired||||||005342, 555, hd555||
http://dws.products.catalog/a555bfc9-b5b3-4942-a10d-652a2bf7201f||00028292264535, 00282922645358||headphones cable - detachable||||||||115 db||y||y55||full size||||||stereo||||||akg||yes||115 db||||headphones||||||<http://schema.org/Product>||||||||black||16 - 24000 hz||16 - 24000 hz||32 ohm||||||||||||wired||||yes||harmany55||
http://dws.products.catalog/ddfb9a21-0d4d-45fa-a740-def7e45f2879||00885038021162, 09002761021165||headphones cable - 10 ft||8.46 oz||||||91 db/mw||||k727||full size||||||stereo||||||akg||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||16 - 28000 hz||||55 ohm||||||||||||wired||||||k272hd||
http://dws.products.catalog/7704decf-8909-4c6b-9c4b-9bb09166a5c9||00615104044654, 00615104044784, 00840356434308, 04006087099506, 04012418044657, 04012418045920, 04012418527150, 06151040446540||headphones cable - external - 10 ft||9.2 oz||||||97 db||sennheiser hd||hd 600||full size||||||stereo||0.1 %||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||gray, black||12 - 39000 hz||||300 ohm||||||||neodymium||||wired||||||004465, 04465, 4465, 600, hd600, seahd600||
http://dws.products.catalog/42756e0f-dbdf-4625-9aab-b59935248a6b||04044155083637, 04560252263029||headset cable - integrated - 4 ft headset cable - integrated - 4 ft||||||||112 db||||pc 363d||full size||||||stereo||||||sennheiser||||112 db||||headset||||usb adapter||<http://schema.org/Product>||||2 years warranty||||||15 - 28000 hz||15 - 28000 hz||50 ohm||||||||||||wired||||||504567, pc363d||
http://dws.products.catalog/574a9392-ad9e-42f5-89c3-a8567de45618||0898072002387||detachable cable: 3m (10ft.)||10 oz, 320 gram||||||102 db in 1 mw||||pm-3||full size, circumaural||||||stereo||||||oppo||||n/a||500 mw||headphones||||zippered carrying case, 1/4\ adapter, owner's manual||<http://schema.org/Product>||n/a||||n/a||||10 - 50,000 hz||n/a||26 ohm||n/a||||2.2 in||neodymium||||wired||closed||n/a||||
http://dws.products.catalog/2dd6da36-2da4-45ac-852e-43c43b004e32||00042406196956, 00042406196970||headphones cable - 5 ft||30 grams||||detachable cable, noise isolating||107 db||sound isolating||se215||in-ear||||||stereo||||yes||shure||n/a||n/a||||headphones||||carrying case, 3 foam sleeves, 3 soft flex sleeves||<http://schema.org/Product>||n/a||2 years||dynamic||clear||22 - 17500 hz||n/a||20 ohm||n/a||||n/a||||||wired||n/a||n/a||se215-cl, shse215cl||
http://dws.products.catalog/606f58bc-9376-4f34-81d6-a89cb061b4a2||00845251076080, 04961310033071, 04961310125424||2 x headphones cable - external - 10 ft||8.46 oz||||||96 db||m||ath-m40x||full size||||||stereo||||yes||audio-technica||yes||96 db||||headphones||||headphones pouch, 6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||15 - 24000 hz||15 - 24000 hz||35 ohm||||||1.6 in||neodymium||||wired||closed||||ath m-40x, atath-m40x, audio-technica ath-m40x, e2athm40x, mpn_34540||
http://dws.products.catalog/d975c79d-b17e-4e5a-b3db-871434a7296f||00028292264788, 00282922647888||headphones cable - external - 4 ft||6.7 oz||||||115 db||y||y50||on-ear||||||stereo||||||akg||||115 db||||headphones with mic||||carrying pouch, 6.3 mm to 3.5 mm adapter||<http://schema.org/Product>||||||||black||16 - 24000 hz||16 - 24000 hz||32 ohm||||||1.6 in||||||wired||closed||||harmany50||
http://dws.products.catalog/7f794042-0085-4ab7-b395-07b1ba28495c||00042406168601, 00042406171908, 00042406171946||headphones cable - detachable - 10 ft headphones adapter - external||6.4 oz||||||105 db||||srh440||full size, circumaural||||||stereo||||yes||shure||no||n/a||||headphones||||carrying pouch||<http://schema.org/Product>||n/a||2 years||dynamic||||10 - 22000 hz||n/a||44 ohm||n/a||||1.6 in||neodymium magnet||en 55103-1, en 55103-2||wired||closed ()||n/a||srh440||
http://dws.products.catalog/d8840b61-eb2f-4785-873f-f60e79c487c1||||||7.76 oz||||||||hd||hd 485||circumaural||||||stereo||0.2 %||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter, headphones stand||<http://schema.org/Product>||||2 year||dynamic||||16 hz||||32 ohm||||||||||||wired||||||500266||
http://dws.products.catalog/bd4ff149-1bbd-4689-9d5c-1aa0cc23043a||04961310126308||headphones cable - integrated - 4 ft||||||||100 db||ath-ax||ath-ax1is||full size||||||stereo||||||audio-technica||||100 db||||headphones||||||<http://schema.org/Product>||volume, answer/end, play/pause||2 years warranty||dynamic||gray||15 - 22000 hz||15 - 22000 hz||40 ohm||||||1.4 in||||||wired||||yes||||
http://dws.products.catalog/8ec56f3e-88e2-4450-8627-304964b005a3||00615104247284||||||||||||sd||sd-10-hs||convertible||||||mono||||||sennheiser||||||||headset - dect 6.0||||||<http://schema.org/Product>||||||||||150 - 6800 hz||150 - 6800 hz||||||||||neodymium magnet||||wireless - dect 6.0||||||||
http://dws.products.catalog/a0246aa6-3593-404f-b876-70225b7ff79e||00000888880930, 00019048158437, 00689076867214, 09002761016253, 09002761018806||headphones cable - external - 10 ft||8.3 oz||||||105 db||k||k701||full size||||||stereo||||||akg||||||||headphones||||6.3 mm (1/4\) stereo adapter, cradle||<http://schema.org/Product>||||||dynamic||||10 - 39800 hz||||62 ohm||||||||||||wired||||||2458z0016, k 701||
http://dws.products.catalog/aa92b3cc-2a35-4069-b337-7cc2a61416e6||00885038021216||headphones cable - 10 ft||8.29 oz||||||105 db||k||k702||circumaural||||||stereo||||||akg||||105 db||||headphones||||6.3 mm (1/4\) stereo adapter, cradle||<http://schema.org/Product>||||2 years warranty||dynamic||||10 - 39800 hz||10 - 39800 hz||62 ohm||||||||||||wired||||||||
http://dws.products.catalog/788a6d15-cfb4-4358-8874-4a66d67d23ec||00615104259737, 04044155095975||headphones cable - integrated - 4 ft||0.4 oz||cx 1.00||||||cx||||in-ear||||||stereo||0.5%||||sennheiser||||||||headphones||||4 pairs of earpads (extra small, small, medium, large)||<http://schema.org/Product>||||2 years warranty||dynamic||black||17 - 20000 hz||17 - 20000 hz||28 ohm||||||||||||wired||||||||
http://dws.products.catalog/da573997-e08b-4f4c-805b-b501a4064a59||00615104175068, 04044155047776||headset cable - integrated - 10 ft||3 oz||||||113 db||pc||pc 230||on-ear||||||stereo||||||sennheiser||||-40 dbv/pascal||||headset||||||<http://schema.org/Product>||||2 years warranty||||||18 - 22000 hz||18 - 22000 hz||32 ohm||||||||||||wired||||||504119, pc 230||
http://dws.products.catalog/b38ab74f-fa45-4048-8fbe-ed4e951f4a3c||00885038035688||headphones cable - detachable - 10 ft||8.29 oz, 235 g||||||105 db||||k712 pro||full size, circumaural||7.8 in, 199 mm||4.4 in, 113 mm||stereo||||yes||akg||||n/a||200 mw||headphones||8.3 in, 212 mm||carrying case||<http://schema.org/Product>||n/a||||n/a||||10 - 39800 hz||n/a||62 ohm||n/a||||||||||wired||open||n/a||2458z00140, k712pro, k712pro 2458z00140||
http://dws.products.catalog/786a208d-6273-42b2-aa64-bd4eeb6bd02b||00015104049749, 00615104049741, 04012418041960, 04012418049744, 04012418053277||audio cable - integrated - 3.3 ft audio adapter - external||10.1 oz||||||113 db||hd||hd 280||full size||||||stereo||0.1%||||sennheiser||||113 db||||headphones||||||<http://schema.org/Product>||||2 years warranty||dynamic||black||8 - 25000 hz||8 - 25000 hz||64 ohm||||||||neodymium||||wired||||||004974, 005327, 280 pro, hd-280pro||
http://dws.products.catalog/93c93813-c58c-4824-82b4-fe8e0aeb808d||00615104255739, 04044155093674||headphones cable - integrated - 4 ft||||||||120 db||ocx||ocx 686||in-ear||||||stereo||0.5%||||sennheiser||||-44 dbv/pascal||||earphones||||carrying pouch, cable clip, 3 pairs of ear tips (small, medium, large)||<http://schema.org/Product>||||||||||18 - 20000 hz||18 - 20000 hz||20 ohm||omni-directional||||||||||wired||||yes||506226, ocx 686g, ocx 686g sports||
http://dws.products.catalog/11b4bb6c-f474-419c-a650-4639f141c399||00885038021100||headphones cable - 10 ft||14.11 oz||||||112 db||k||k99||circumaural||||||stereo||||||akg||||112 db||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||18 - 22000 hz||18 - 22000 hz||32 ohm||||||1.6 in||||||wired||semi-open||||||
http://dws.products.catalog/41c03234-25d7-4ae4-8ac5-25f1033f48b4||00615104099692, 00888365000565, 04012418099695||headphones cable - 10 ft||9.2 oz, 260 g||||||103 db||hd||hd 650||full size||||||stereo||0.05%||||sennheiser||||n/a||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||n/a||2 years||dynamic||||10 - 39500 hz||n/a||300 ohm||n/a||||||neodymium||||wired||over ear||n/a||009969, 09969, 650, 9969, hd 650 demo, hd-650, seahd650, used005002 hd650||
http://dws.products.catalog/5f3b048d-2bd2-47cd-8fd9-482ace80b0c1||00615104102958, 04044156002354||headphones cable - 10 ft||11.6 oz||||||102 db||hd||hd 800||full size||||||stereo||0.02%||||sennheiser||||102 db||||headphones||||||<http://schema.org/Product>||||2 years warranty||dynamic||||8 - 50000 hz||8 - 50000 hz||300 ohm||||||||||||wired||||||500319, 800, hd800, hd800 demo, hd800-sennheiser, hd800b||
http://dws.products.catalog/b90ce287-263c-4436-8351-62ab99c2c268||00042005169986, 04961310112141||headphones cable - detachable - 4 ft headphones extension cable - detachable - 4 ft||10.8 oz||||||106 db/mw||ath-pro||ath-pro700mk2||full size||||||stereo||||||audio-technica||||106 db/mw||||headphones||||carrying pouch, 6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||5 - 35000 hz||5 - 35000 hz||38 ohm||||||2.1 in||||||wired||||||ath-pro700mk2, pro700mk2 professional dj||
http://dws.products.catalog/9991ab94-dd76-4c25-a610-2c2ca1ebf0e2||00885038028628, 09002761028621||headset cable - detachable - 1.6 ft headset cable - detachable - 3.6 ft||4.2 oz||||||110 db/mw||q||q460||full size||||||stereo||||||akg||||110 db/mw||||headset||||6.3 mm (1/4\) stereo adapter, 2.5mm jack adapter||<http://schema.org/Product>||||||||green||11 - 29500 hz||11 - 29500 hz||32 ohm||||||||||||wired||||||cnetakgq460, q460grn||
http://dws.products.catalog/a56e0322-3516-413f-81d0-d5beb0a0007b||00042406178334, 00042406178341, 00042406178365||headphones cable - detachable - 5 ft||||||||116 db||se||se315||in-ear||||||stereo||||||shure||||116 db||||headphones||||carrying case, triple flange sleeves, 3 foam sleeves, 3 soft flex sleeves||<http://schema.org/Product>||||||||clear||22 - 18500 hz||22 - 18500 hz||27 ohm||||||||||||wired||||||se315cl, se315cle, shse315clk||
http://dws.products.catalog/c1bf4383-b8c5-4c7d-9449-a7e9081bceb2||04961310126414||headphones cable - integrated - 4 ft||||||||105 db||ath-ax||ath-ax5is||full size||||||stereo||||||audio-technica||||105 db||||headphones||||carrying case||<http://schema.org/Product>||volume, answer/end, play/pause||2 years warranty||dynamic||black||5 - 25000 hz||5 - 25000 hz||55 ohm||||||1.6 in||||||wired||||yes||||
http://dws.products.catalog/4175b855-3d65-4e08-8ec8-f0d4745abd5f||00006151041008, 00615104100886, 00615104194557, 00615140100888, 00943009000001, 04044156000787||headphones cable - integrated - 10 ft||5.8 oz||||||108 db||hd||hd 201||full size||||||stereo||0.7%||||sennheiser||||108 db||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||21 - 18000 hz||21 - 18000 hz||24 ohm||||||||||||wired||||||201, 500155, hc-sn/hd201, hd-201||
http://dws.products.catalog/d7130c90-df60-4e0d-a898-ad8e2821dc7f||04961310125431||2 x headphones cable - external - 10 ft headphones cable - external - 4 ft||10.02 oz, 285 g||||||99 db||m series||ath-m50x||full size, circumaural||||||stereo||||yes||audio-technica||yes||n/a||1,600 mw at 1 khz||headphones||||headphones pouch, 6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||n/a||2 years||dynamic||black||15 - 28000 hz||n/a||38 ohm||n/a||||1.8 in||neodymium||||wired||closed||n/a||ath m-50x, ath-m50x bk (black), atath-m50x||
http://dws.products.catalog/20f90193-ab81-4a40-baf4-b97c5d275852||00615104257948||headphones cable - 4 ft||0.42 oz||||||||cx||cx 3.00||in-ear||||||stereo||0.5%||||sennheiser||||||||earphones||||carrying case, 4 pairs of earpads (extra small, small, medium, large)||<http://schema.org/Product>||||2 years warranty||dynamic||red||17 - 21000 hz||17 - 21000 hz||18 ohm||||||||||||wired||||||cx 3.00 red, cx 3.00 red, cx300red||
http://dws.products.catalog/0e1325a9-ae49-4e81-873d-fc3fa3c33567||00615104187702, 00700987276558||headphones adapter - external headphones cable - external - 10 ft||9.2 oz||||||112 db||hd||hd 588||full size||||||stereo||0.2%||||sennheiser||||112 db||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||15 - 28000 hz||15 - 28000 hz||50 ohm||||||||neodymium||||wired||||||504630, 504631, 558, sen-hd-558bl||
http://dws.products.catalog/7b73f138-a098-4584-b6ab-0bca9cd63aab||00615104263406||headphones cable - external - 4.6 ft||190 g||||||112 db/vrms||momentum||momentum 2.0||on-ear||||||stereo||0.50%||yes||sennheiser||yes||-44 dbv/pascal||200 mw||headphones||||carrying case||<http://schema.org/Product>||volume, answer/end, play/pause, next/previous track||||dynamic||||16 - 22000 hz||100 - 10000 hz||18 ohm||omni-directional - 100 - 10000 hz||iphone, ipad, ipod||||neodymium||||wired||closed||yes||506395||
http://dws.products.catalog/f77b6e6f-20b6-4ffb-93bf-aa98536709b0||00615104257931, 04044155094916||headphones cable - integrated - 4.3 ft||0.6 oz||||||118 db||momentum||momentum m2 iei||in-ear||||||stereo||0.5%||||sennheiser||||-44 dbv/pascal||||headphones with mic||||carrying case, 4 pairs of ear tips (supersmall, small, medium, large)||<http://schema.org/Product>||||2 years warranty||dynamic||black, red||15 - 22000 hz||15 - 22000 hz||18 ohm||||||||||||wired||||||||
http://dws.products.catalog/dd09d061-0813-4766-a098-8f7cd5ad1fa9||04961310118631||headphones cable - integrated - 10 ft||8.3 oz||||||100 db/mw||ath-ad||ath-ad500x||full size||||||stereo||||||audio-technica||||100 db/mw||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||||1 year warranty||dynamic||||5 - 25000 hz||5 - 25000 hz||48 ohm||||||2.1 in||||||wired||||||ad500x||
http://dws.products.catalog/9412e779-601f-4aca-8be1-de4ad7920759||00015104053432, 00615104053434, 04012418053437, 04044156008103||headphones cable - 10 ft||9.5 oz||||||104 db||||hd 595||full size||||||stereo||0.1%||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||12 - 38500 hz||||120 ohm||||||||||||wired||||||hd595||
http://dws.products.catalog/7c4a9ace-63eb-4420-b3c2-b45fa2e7a830||00885038028635, 09002761028638||headset cable - detachable - 10 ft||8.3 oz||||||93 db/mw||q||q701||full size||||||stereo||||||akg||||93 db/mw||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||||||||black||10 - 39800 hz||10 - 39800 hz||62 ohm||||||||||||wired||||||q701 premium, q701blk||
http://dws.products.catalog/7d8b499c-12ed-4181-9b44-92b9a0d4a4f6||00042406178631, 00042406178648, 00042406178662||||1.1 oz||||||119 db||||se535||in-ear||||||stereo||||||shure||||||||headphones||||carrying case, airplane adapter, 6.3 mm (1/4\) stereo adapter, triple flange sleeves, 3 foam sleeves, 3 soft flex sleeves, headphone attenuator||<http://schema.org/Product>||||2 years warranty||balanced armature||metallic bronze, clear||18 - 19000 hz||||36 ohm||||||||||weee||wired||||||jsh se535v, se535, se535-v||
http://dws.products.catalog/2da172f4-a9a9-4b93-9bbb-4229dcf758a8||00615104167957, 04044155043495||headphones extension cable - external - 5 ft||6.9 oz||||||114 db||hd||hd 488||full size||||||stereo||0.1%||||sennheiser||||114 db||||headphones||||carrying pouch, 6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||black||16 - 24000 hz||16 - 24000 hz||32 ohm||||||||neodymium||||wired||closed||||502767, hd448||
http://dws.products.catalog/7c5c3cf9-1d75-486b-9b5a-4843dd167847||00182092000851||headphones cable - integrated||4.4 oz, 363 grams||||||98 db/mw||||sr 60e||on-ear||||||stereo||||||grado||||n/a||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||n/a||1 year||dynamic||||20 - 20000 hz||n/a||32 ohm||n/a||||||||||wired||open||n/a||sr60e||
http://dws.products.catalog/c6037277-dba8-44a4-839b-f8ac186e6dd4||00885038026730, 09002761005950||headphones cable - external - 10 ft||8.5 oz||||||91 db/mw||k||k240||on-ear||||||stereo||0.3%||||akg||||91 db/mw||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||15 - 25000 hz||15 - 25000 hz||55 ohm||||||||neodymium||||wired||||||akg-k240, akg-k240stu, k 240 studio, k240, k240s, k240snsau2||
http://dws.products.catalog/0fada53b-e4fb-4e9f-a813-28363d7212db||00042406277464||headphones cable - external - 5.3 ft headphones cable - external - 3.8 ft||||||||114 db/mw||se||se846||in-ear||||||stereo||||||shure||||114 db/mw||||headphones||||cleaning cloth, carrying case, airplane adapter, 6.3 mm (1/4\) stereo adapter, ear tips kit, triple flange sleeves, 3 foam sleeves, 3 soft flex sleeves, headphone attenuator, cable clip||<http://schema.org/Product>||||2 years warranty||balanced armature||clear||15 - 20000 hz||15 - 20000 hz||9 ohm||||||||||||wired||||||se846, se846 sound isolating earphones, se846-cl||
http://dws.products.catalog/49edc511-c63c-47b2-96c0-a7f95910a906||00885038024484, 09002761024487||headphones cable - integrated - 3.3 ft||||||||124 db||k||k309||ear-bud||||||stereo||||||akg||||124 db||||headphones||||headphones earpads||<http://schema.org/Product>||||||dynamic||brown||18 - 20000 hz||18 - 20000 hz||17 ohm||||||||||||wired||||||||
http://dws.products.catalog/cf7ad1b2-108a-4825-b3fb-1a5f468bfd4f||||||8.99 oz||||||104 db||hd||hd 515||circumaural||||||stereo||0.2 %||||sennheiser||||||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||||dynamic||||14 hz||||120 ohm||||||||||||wired||||||||
http://dws.products.catalog/0db12fb4-2f2e-4b73-ab40-22faba3a3309||00615104221048, 04044155073515||headphones cable - detachable - 10 ft||9.52 oz||||||105 db||sennheiser hd||hd 700||circumaural||||||stereo||0.03 %||||sennheiser||||||||headphones||||||<http://schema.org/Product>||||2 years warranty||dynamic||||8 - 44000 hz||||150 ohm||||||||||||||||||504963, hd 700||
http://dws.products.catalog/d7b21400-8557-4bfa-8e7e-4e170407a39d||00615104127463, 04044156017198||audio adapter audio cable||1.8 oz||||||125 db||is||is 410||under-chin||5.3 in||0.8 in||stereo||1.0%||||sennheiser||||125 db||||headphones - infrared||9.1 in||transmitter unit, 6.3 mm (1/4\) stereo adapter, 2 ear cushions||<http://schema.org/Product>||||||||||50 - 16000 hz||50 - 16000 hz||||||||||||||wireless - infrared||||||500683, is410||
http://dws.products.catalog/ad675031-89ee-4cfd-9c48-9b372b5bb9c7||00042406178518, 00042406178549||headphones cable - detachable - 5 ft||29.5 grams||||||109 db||sound isolating||se425||in-ear||||||stereo||||||shure||||n/a||||headphones||||carrying case, 6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||n/a||2 years||n/a||||20 - 19000 hz||n/a||22 ohm||n/a||||||||||wired||||n/a||se425, se425-v||
http://dws.products.catalog/f30afe1c-05fa-4da5-9064-1980a2a7f00a||00885038035695||headphones cable - 10 ft||8.39 oz||||||101 db||k||k612||circumaural||||||stereo||||||akg||||101 db||||headphones||||3.5 mm to 6.3 mm adapter||<http://schema.org/Product>||||||dynamic||||12 - 39500 hz||12 - 39500 hz||120 ohm||||||||||||wired||||||||
http://dws.products.catalog/0d51a138-9982-4b41-bab4-67c0aa9a74a0||04961310125400||headphones cable - 10 ft||6.7 oz||||||96 db||m||ath-m20x||full size||||||stereo||||||audio-technica||||96 db||||headphones||||6.3 mm (1/4\) stereo adapter||<http://schema.org/Product>||||2 years warranty||dynamic||||15 - 20000 hz||15 - 20000 hz||47 ohm||||||1.6 in||neodymium||||wired||closed||||m20x||
